"Section";"MemType";"broadly";"SuSy";"Size (bytes)";"Quota"
".Applpfls1.user_text";"PFlash";"ROM";"BSW";"7312";"0.00232"
".Applpfls0.user_text";"PFlash";"ROM";"RPM";"6302";"0.00200"
".CPU1.bss";"DSPR";"RAM";"SIT";"91274";"0.48708"
".CPU1.data";"DSPR";"RAM";"INT";"60";"0.00032"
".dlmu0_nc.bss";"DLMU";"RAM";"INT";"780";"0.01190"
".Applpfls0.SubBlockTable";"PFlash";"ROM";"BSW";"48";"0.00002"
".Applpfls0.rodata";"PFlash";"ROM";"INT";"11939";"0.00380"
".default_data";"DSPR";"RAM";"RPM";"300";"0.00147"
".lmu1_nc.bss";"LMU1";"RAM";"SIT";"36";"0.00014"
".CPU1.data";"DSPR";"RAM";"SIT";"564";"0.00301"
".Applpfls1.user_text";"PFlash";"ROM";"PER";"285296";"0.09069"
".Applpfls0.user_text";"PFlash";"ROM";"?";"7148";"0.00227"
".CPU3.bss";"DSPR";"RAM";"INT";"41088";"0.54223"
".CPU3.bss";"DSPR";"RAM";"SIT";"6132";"0.08092"
".Applpfls0.user_text";"PFlash";"ROM";"EDR";"11034";"0.00351"
".Applpfls2.user_rodata";"PFlash";"ROM";"INT";"52";"0.00002"
".Applpfls1.user_text";"PFlash";"ROM";"CCD";"2470";"0.00079"
".lmu1_nc.bss";"LMU1";"RAM";"INT";"34864";"0.13300"
".Applpfls1.user_text";"PFlash";"ROM";"DSM";"2906";"0.00092"
".Applpfls0.rodata";"PFlash";"ROM";"CCD";"111";"0.00004"
".Applpfls1.user_rodata";"PFlash";"ROM";"PER";"16124";"0.00513"
".Applpfls0.user_text";"PFlash";"ROM";"FCT";"197696";"0.06285"
".CPU0.bss";"DSPR";"RAM";"FCT";"1584";"0.00777"
".CPU2.bss";"DSPR";"RAM";"PER";"600";"0.00681"
".Applpfls0.rodata";"PFlash";"ROM";"SIT";"6297";"0.00200"
".Applpfls1.user_rodata";"PFlash";"ROM";"FCT";"336";"0.00011"
".Applpfls0.VectorPointerTable";"PFlash";"ROM";"?";"16";"0.00001"
".CPU1.bss";"DSPR";"RAM";"INT";"10392";"0.05546"
".Applpfls0.user_text";"PFlash";"ROM";"INT";"185048";"0.05883"
".Applpfls1.user_text";"PFlash";"ROM";"?";"4536";"0.00144"
".lmu0_nc.bss";"LMU0";"RAM";"INT";"9248";"0.03528"
".CalBoschBlock.rodata";"PFlash";"ROM";"CCD";"348";"0.00011"
".Applpfls0.rodata";"PFlash";"ROM";"?";"2220";"0.00071"
".default_data";"DSPR";"RAM";"BSW";"1051";"0.00516"
".CPU2.bss";"DSPR";"RAM";"FCT";"64";"0.00073"
".Applpfls0.SubBlockTable";"PFlash";"ROM";"?";"32";"0.00001"
".CPU0.bss";"DSPR";"RAM";"BSW";"4";"0.00002"
".Applpfls1.user_text";"PFlash";"ROM";"SIT";"396746";"0.12612"
".Applpfls0.rodata";"PFlash";"ROM";"VMC";"3126";"0.00099"
".CPU1.bss";"DSPR";"RAM";"FCT";"26212";"0.13988"
".dlmu1_nc.bss";"DLMU";"RAM";"PER";"65216";"0.99512"
".default_data";"DSPR";"RAM";"FCT";"1928";"0.00946"
".Applpfls1.Build_Info";"PFlash";"ROM";"INT";"5564";"0.00177"
".CPU2.data";"DSPR";"RAM";"VMC";"4569";"0.05188"
".default_bss";"DSPR";"RAM";"?";"516";"0.00253"
".Applpfls1.user_rodata";"PFlash";"ROM";"VMC";"4";"0.00000"
".Applpfls1.user_rodata";"PFlash";"ROM";"SIT";"26498";"0.00842"
".Applpfls0.user_text";"PFlash";"ROM";"PER";"10222";"0.00325"
".CPU1.data";"DSPR";"RAM";"PER";"120";"0.00064"
".default_bss";"DSPR";"RAM";"PER";"492";"0.00241"
".lmu1_nc.bss";"LMU1";"RAM";"FCT";"400";"0.00153"
".CPU5.bss";"DSPR";"RAM";"INT";"10588";"0.10884"
".CPU1.bss";"DSPR";"RAM";"RPM";"296";"0.00158"
".lmu0_nc.data";"LMU0";"RAM";"BSW";"4880";"0.01862"
".default_bss";"DSPR";"RAM";"INT";"18788";"0.09220"
".CPU1.bss";"DSPR";"RAM";"CCD";"528";"0.00282"
".lmu0_nc.data";"LMU0";"RAM";"SIT";"64";"0.00024"
".default_data";"DSPR";"RAM";"INT";"3772";"0.01851"
".default_data";"DSPR";"RAM";"VMC";"5678";"0.02786"
".lmu0_nc.bss";"LMU0";"RAM";"PER";"95164";"0.36302"
".CPU1.bss";"DSPR";"RAM";"BSW";"634";"0.00338"
".lmu0_nc.bss";"LMU0";"RAM";"FCT";"18012";"0.06871"
".Applpfls1.user_text";"PFlash";"ROM";"FCT";"14";"0.00000"
".Applpfls0.rodata";"PFlash";"ROM";"BSW";"396885";"0.12617"
".Applpfls0.user_text";"PFlash";"ROM";"VMC";"9866";"0.00314"
".Applpfls0.rodata";"PFlash";"ROM";"RPM";"2272";"0.00072"
".CPU2.data";"DSPR";"RAM";"INT";"60";"0.00068"
".lmu0_nc.bss";"LMU0";"RAM";"CCD";"408";"0.00156"
".Applpfls1.user_rodata";"PFlash";"ROM";"RPM";"5100";"0.00162"
".Applpfls1.user_rodata";"PFlash";"ROM";"INT";"2328";"0.00074"
".default_data";"DSPR";"RAM";"?";"118";"0.00058"
".Applpfls0.text";"PFlash";"ROM";"BSW";"49374";"0.01570"
".CPU1.bss";"DSPR";"RAM";"PER";"2236";"0.01193"
".Applpfls5.RBCrc";"PFlash";"ROM";"BSW";"16";"0.00002"
".CPU2.bss";"DSPR";"RAM";"INT";"30964";"0.35161"
".lmu1_nc.bss";"LMU1";"RAM";"CCD";"128";"0.00049"
".Applpfls1.user_text";"PFlash";"ROM";"INT";"2958";"0.00094"
".Applpfls5.BlockEpilog";"PFlash";"ROM";"?";"48";"0.00005"
".lmu1_nc.bss";"LMU1";"RAM";"BSW";"55186";"0.21052"
".lmu1_nc.bss";"LMU1";"RAM";"EDR";"40640";"0.15503"
".Applpfls1.user_rodata";"PFlash";"ROM";"?";"80";"0.00003"
".CPU0.data";"DSPR";"RAM";"INT";"80";"0.00039"
".default_bss";"DSPR";"RAM";"SIT";"600";"0.00294"
".Applpfls2.user_rodata";"PFlash";"ROM";"PER";"176";"0.00006"
".Applpfls0.rodata";"PFlash";"ROM";"EDR";"184";"0.00006"
".ifx_sbst5";"DSPR";"RAM";"?";"16";"0.00016"
".CPU5.bss";"DSPR";"RAM";"SIT";"42176";"0.43355"
".CPU5.bss";"DSPR";"RAM";"RPM";"2312";"0.02377"
".default_bss";"DSPR";"RAM";"FCT";"436";"0.00214"
".lmu0_nc.bss";"LMU0";"RAM";"RPM";"3280";"0.01251"
".Applpfls0.user_text";"PFlash";"ROM";"BSW";"412950";"0.13127"
".Applpfls0.user_text";"PFlash";"ROM";"SIT";"26332";"0.00837"
".CPU0.bss";"DSPR";"RAM";"INT";"15912";"0.07809"
".dlmu0_nc.bss";"DLMU";"RAM";"VMC";"9811";"0.14970"
".default_bss";"DSPR";"RAM";"BSW";"100716";"0.49425"
".CPU0.bss";"DSPR";"RAM";"RPM";"64";"0.00031"
".lmu1_nc.bss";"LMU1";"RAM";"PER";"3680";"0.01404"
".lmu0_nc.bss";"LMU0";"RAM";"SIT";"25252";"0.09633"
".Applpfls0.rodata";"PFlash";"ROM";"PER";"804";"0.00026"
".Applpfls2.user_text";"PFlash";"ROM";"INT";"612";"0.00019"
".Applpfls0.BlockHeader";"PFlash";"ROM";"?";"80";"0.00003"
".lmu0_nc.bss";"LMU0";"RAM";"BSW";"34855";"0.13296"
".Applpfls1.user_rodata";"PFlash";"ROM";"DSM";"440";"0.00014"
".Applpfls1.user_rodata";"PFlash";"ROM";"BSW";"60";"0.00002"
".Applpfls1.user_rodata";"PFlash";"ROM";"EDR";"32";"0.00001"
".Applpfls1.user_text";"PFlash";"ROM";"RPM";"119988";"0.03814"
".Applpfls5.RBSignature";"PFlash";"ROM";"BSW";"1012";"0.00097"
".Applpfls2.user_text";"PFlash";"ROM";"PER";"6796";"0.00216"
".CPU1.data";"DSPR";"RAM";"RPM";"128";"0.00068"
".Applpfls0.user_text";"PFlash";"ROM";"CCD";"762";"0.00024"
".Applpfls0.rodata";"PFlash";"ROM";"FCT";"14116";"0.00449"
".Applpfls1.user_text";"PFlash";"ROM";"VMC";"132030";"0.04197"
